Population,Mean_Annual_Ppt
BOGR-AZ040-278-SANTACRUZ-17,388.4280202
BOGR-AZ040-284-SANTACRUZ-17,461.4743587
BOGR-AZ040-302-SANTACRUZ-17,461.4743587
BOGR-AZ930-302-10,695.9112502
BOGR-AZ930-303-10,695.9112502
BOGR-CO932-274-11,522.6015112
BOGR-CO932-276-11,465.2463066
BOGR-CO932-307-JEFFERSON-12,503.9696835
BOGR-CO932-360-FREMONT-17,444.7489992
BOGR-CO932-362-CHAFFEE-17,249.891624
BOGR-CO932-363-CLEARCREEK-17,438.7093658
BOGR-NM080-67-CHAVES-16,420.0533936
BOGR-NM930-071-08,328.923302
BOGR-NM930-140-10,277.0075526
BOGR-NM930-145-10,332.6311373
BOGR-NM930-95-SANDOVAL-12,323.6663123
BOGR-UT030-215-GARFIELD-13,259.1103883
BOGR-UT080-163-CARBON-14,294.351159
BOGR-WY050-113-FREMONT-15,206.5857383
BOGR-WY050-133-FREMONT-16,206.5857383
BOGR-WY070-71-JOHNSON-15,388.2647214
