Population,Mean_Annual_Ppt
ERNA-CO932-290-11,482.111102
ERNA-CO932-292-11,520.1427103
ERNA-CO932-385-GUNNISON-19,368.5594903
ERNA-CO932-387-RIOBLANCO-19,428.9719308
ERNA-CO932-389-ROUTT-19,364.5145026
ERNA-CO932-390-MONTROSE-20,366.2827
ERNA-CO932-393-MESA-20,448.9206925
ERNA-CO932-394-MESA-20,500.9328029
ERNA-DBG-Chatfield-21,443.7063611
ERNA-NV030-1024-INYO-14,272.1484715
ERNA-NV030-1347-LYON-17,141.6444382
ERNA-NV030-1366-WASHOE-17,229.4136977
ERNA-NV030-1515-WASHOE-20,369.9289394
ERNA-NV030-521-10,563.0206159
ERNA-NV030-926-WASHOE-13,306.0130303
ERNA-UT030-219-GARFIELD-13,269.9989337
ERNA-UT931-398-10,601.4036973
ERNA-UT931-433-10,1044.973687
ERNA-UT931-436-10,NA
ERNA-WY070-2-10,330.0884279
