Population,elevation
ERNA-CO932-290-11,6021
ERNA-CO932-292-11,6340
ERNA-CO932-385-GUNNISON-19,8192
ERNA-CO932-387-RIOBLANCO-19,6758
ERNA-CO932-389-ROUTT-19,7194
ERNA-CO932-390-MONTROSE-20,7319
ERNA-CO932-393-MESA-20,7162
ERNA-CO932-394-MESA-20,7070
ERNA-DBG-Chatfield-21,5500
ERNA-NV030-1024-INYO-14,7408
ERNA-NV030-1347-LYON-17,4206
ERNA-NV030-1366-WASHOE-17,4420
ERNA-NV030-1515-WASHOE-20,5033
ERNA-NV030-521-10,5753
ERNA-NV030-926-WASHOE-13,4993
ERNA-UT030-219-GARFIELD-13,5475
ERNA-UT931-398-10,7617
ERNA-UT931-433-10,5400
ERNA-UT931-436-10,5300
ERNA-WY070-2-10,4473
