Population,Mean_MinWinter_Temp
ERNA-CO932-290-11,-7.006299229
ERNA-CO932-292-11,-8.054953984
ERNA-CO932-385-GUNNISON-19,-14.17121114
ERNA-CO932-387-RIOBLANCO-19,-8.719844462
ERNA-CO932-389-ROUTT-19,-12.6333135
ERNA-CO932-390-MONTROSE-20,-8.19732697
ERNA-CO932-393-MESA-20,-6.437125388
ERNA-CO932-394-MESA-20,-6.386322226
ERNA-NV030-1024-INYO-14,-6.055397639
ERNA-NV030-1347-LYON-17,-5.611191272
ERNA-NV030-1366-WASHOE-17,-2.968114279
ERNA-NV030-1515-WASHOE-20,-4.471350802
ERNA-NV030-521-10,-4.838637314
ERNA-NV030-926-WASHOE-13,-5.001302357
ERNA-UT030-219-GARFIELD-13,-5.312100797
ERNA-UT931-398-10,-12.95447781
ERNA-UT931-433-10,-7.738595245
ERNA-UT931-436-10,NA
ERNA-WY070-2-10,-10.29204921
ERNA10-DBG-Chatfield-21,-7.714918294
