Population,elevation
BOGR-AZ040-284-SANTACRUZ-17,4410
BOGR-AZ040-302-SANTACRUZ-17,4448
BOGR-AZ040-278-SANTACRUZ-17,4665
BOGR-AZ930-303-10,6797
BOGR-AZ930-302-10,6987
BOGR-CO932-363-CLEARCREEK-17,7610
BOGR-CO932-360-FREMONT-17,5860
BOGR-CO932-276-11,6504
BOGR-CO932-362-CHAFFEE-17,7540
BOGR-CO932-307-JEFFERSON-12,7428
BOGR-CO932-274-11,6595
BOGR-NM080-67-CHAVES-16,6029
BOGR-NM930-145-10,4649
BOGR-NM930-140-10,5079
BOGR-NM930N-95-SANDOVAL-12,7134
BOGR-NM930-071-08,5083
BOGR-UT030-215-GARFIELD-13,5839
BOGR-UT080-163-CARBON-14,5800
BOGR-WY050-133-FREMONT-16,4800
BOGR-WY050-113-FREMONT-15,4766
BOGR-WY070-71-JOHNSON-15,4633
