Pop_code,Population,Treatment,Block,Code,seed_zone,ID,plant_date,death_date,flower_date,days_until_mortality,days_until_flowering,length_cm_20220531,survival_20220531,Notes,replaced_Y_N,replaced_with_20220606,length_cm 20220627,flowering_Y_N_20220627,phenology_20220627,survival_20220627,notes_20220627,flowering_Y_N_20220701,phenology_20220701,survival_20220701,notes_20220701,flowering_Y_N_20220705,phenology_20220705,num_infl_20220705,survival_20220705,notes_20220705,flowering_Y_N_20220713,phenology_20220713,num_infl_20220713,survival_20220713,notes_20220713,flowering_Y_N_20220718,phenology_20220718,num_infl_20220718,survival_20220718,notes_20220718,flowering_Y_N_20220725,phenology_20220725,num_infl_20220725,survival_20220725,notes_20220725,length_cm_20220801,survival_20220801,flowering_Y_N_20220801,phenology_20220801,num_inf_20220801,notes_20220801,flowering_Y_N_20220809,phenology_20220809,survival_20220809,flowering_Y_N_20220818,phenology_20220818,survival_20220818,notes,flowering_Y_N_20220829,phenology_20220829,survival_20220829,notes _20220829,bagged_20220829,flowering_Y_N_20220915,phenology_20220915,survival_20220915,num_inf_20220927,flowering_Y_N_20220927,phenology_20220927,survival_20220927,notes _20220927,Bagged,NumInf_coll_20220927,NumInf_coll_20221014,NumInf_coll_20221108
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_51,30 - 35 Deg. F. / 6 - 12 ,6,5/12/22,,,,,6.5,1,,,,6.9,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,8.1,1,0,2,,,0,2,1,0,2,1,,0,2,1,,,0,2,1,,0,2,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_11,30 - 35 Deg. F. / 6 - 12 ,38,5/12/22,,8/29/22,,109,4.4,1,,,,14.2,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,21.8,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,53,1,3,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_21,30 - 35 Deg. F. / 6 - 12 ,68,5/12/22,,8/29/22,,109,13,1,,,,13.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,27.9,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,21,1,3,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_31,30 - 35 Deg. F. / 6 - 12 ,99,5/12/22,,8/9/22,,89,11.2,1,,,,11.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,18.9,1,0,2,,,1,3,1,1,3,1,,1,3,1,,,1,3,1,51,1,3,1,,y,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_01,30 - 35 Deg. F. / 6 - 12 ,101,5/12/22,,8/29/22,,109,7.7,1,,,,12.9,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,22.6,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,62,1,5,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,dry ,1,BOGR-AZ040-278-SANTACRUZ-17_41,30 - 35 Deg. F. / 6 - 12 ,115,5/12/22,,8/29/22,,109,11.2,1,,,,17.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,25.4,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,52,1,3,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,wet,2,BOGR-AZ040-278-SANTACRUZ-17_02,30 - 35 Deg. F. / 6 - 12 ,125,5/12/22,,9/15/22,,126,8,1,,,,12,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,25,1,0,2,,,0,2,1,0,2,1,,0,2,1,,,1,3,1,22,1,3,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,wet,2,BOGR-AZ040-278-SANTACRUZ-17_52,30 - 35 Deg. F. / 6 - 12 ,131,5/12/22,,8/1/22,,81,17.9,1,,,,16.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,26.3,1,1,3,1,,1,3,1,1,3,1,,1,3,1,,,1,5,1,63,1,5,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,wet,2,BOGR-AZ040-278-SANTACRUZ-17_12,30 - 35 Deg. F. / 6 - 12 ,159,5/12/22,,8/1/22,,81,11.4,1,,,,12.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,23.6,1,1,3,1,,1,6,1,1,6,1,,1,6,1,,,1,6,1,,1,6,1,,y,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,wet,2,BOGR-AZ040-278-SANTACRUZ-17_32,30 - 35 Deg. F. / 6 - 12 ,170,5/12/22,,9/15/22,,126,8.8,1,,,,10.2,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,22.9,1,0,2,,,0,2,1,0,2,1,,0,2,1,,,1,3,1,14,1,3,1,,,,,
AZ1,BOGR-AZ040-278-SANTACRUZ-17,wet,2,BOGR-AZ040-278-SANTACRUZ-17_42,30 - 35 Deg. F. / 6 - 12 ,177,5/12/22,,8/18/22,,98,5.2,1,,,,10,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,24.4,1,0,2,,,0,2,1,1,3,1,,1,3,1,,,1,3,1,86,1,5,1,,,,,
