Population,flowered,survived,total_sample,Proportion Flowered,Proportion Survived,,,Population,Proportion Flowered,,Population,Proportion Survived
BOGR-AZ040-278-SANTACRUZ-17,54,60,60,0.9000,1.0000,,,BOGR-AZ040-278-SANTACRUZ-17,0.9000,,BOGR-AZ040-278-SANTACRUZ-17,1.0000
BOGR-AZ040-284-SANTACRUZ-17,55,58,60,0.9483,0.9667,,,BOGR-AZ040-284-SANTACRUZ-17,0.9483,,BOGR-AZ040-284-SANTACRUZ-17,0.9667
BOGR-AZ040-302-SANTACRUZ-17,53,59,60,0.8983,0.9833,,,BOGR-AZ040-302-SANTACRUZ-17,0.8983,,BOGR-AZ040-302-SANTACRUZ-17,0.9833
BOGR-AZ930-302-10,54,59,60,0.9153,0.9833,,,BOGR-AZ930-302-10,0.9153,,BOGR-AZ930-302-10,0.9833
BOGR-AZ930-303-10,58,60,60,0.9667,1.0000,,,BOGR-AZ930-303-10,0.9667,,BOGR-AZ930-303-10,1.0000
BOGR-CO932-274-11,56,59,60,0.9492,0.9833,,,BOGR-CO932-274-11,0.9492,,BOGR-CO932-274-11,0.9833
BOGR-CO932-276-11,51,58,60,0.8793,0.9667,,,BOGR-CO932-276-11,0.8793,,BOGR-CO932-276-11,0.9667
BOGR-CO932-307-JEFFERSON-12,55,56,60,0.9821,0.9333,,,BOGR-CO932-307-JEFFERSON-12,0.9821,,BOGR-CO932-307-JEFFERSON-12,0.9333
BOGR-CO932-360-FREMONT-17,58,60,60,0.9667,1.0000,,,BOGR-CO932-360-FREMONT-17,0.9667,,BOGR-CO932-360-FREMONT-17,1.0000
BOGR-CO932-362-CHAFFEE-17,57,59,60,0.9661,0.9833,,,BOGR-CO932-362-CHAFFEE-17,0.9661,,BOGR-CO932-362-CHAFFEE-17,0.9833
BOGR-CO932-363-CLEARCREEK-17,55,57,60,0.9649,0.9500,,,BOGR-CO932-363-CLEARCREEK-17,0.9649,,BOGR-CO932-363-CLEARCREEK-17,0.9500
BOGR-NM080-67-CHAVES-16,56,60,60,0.9333,1.0000,,,BOGR-NM080-67-CHAVES-16,0.9333,,BOGR-NM080-67-CHAVES-16,1.0000
BOGR-NM930-071-08,53,60,60,0.8833,1.0000,,,BOGR-NM930-071-08,0.8833,,BOGR-NM930-071-08,1.0000
BOGR-NM930-140-10,53,59,60,0.8983,0.9833,,,BOGR-NM930-140-10,0.8983,,BOGR-NM930-140-10,0.9833
BOGR-NM930-145-10,52,57,60,0.9123,0.9500,,,BOGR-NM930-145-10,0.9123,,BOGR-NM930-145-10,0.9500
BOGR-NM930-95-SANDOVAL-12,17,18,19,0.9444,0.9474,,,BOGR-NM930-95-SANDOVAL-12,0.9444,,BOGR-NM930-95-SANDOVAL-12,0.9474
BOGR-UT030-215-GARFIELD-13,55,59,60,0.9322,0.9833,,,BOGR-UT030-215-GARFIELD-13,0.9322,,BOGR-UT030-215-GARFIELD-13,0.9833
BOGR-UT080-163-CARBON-14,7,7,8,1.0000,0.8750,,,BOGR-UT080-163-CARBON-14,1.0000,,BOGR-UT080-163-CARBON-14,0.8750
BOGR-WY050-113-FREMONT-15,50,56,60,0.8929,0.9333,,,BOGR-WY050-113-FREMONT-15,0.8929,,BOGR-WY050-113-FREMONT-15,0.9333
BOGR-WY050-133-FREMONT-16,42,52,60,0.8077,0.8667,,,BOGR-WY050-133-FREMONT-16,0.8077,,BOGR-WY050-133-FREMONT-16,0.8667
BOGR-WY070-71-JOHNSON-15,20,26,28,0.7692,0.9286,,,BOGR-WY070-71-JOHNSON-15,0.7692,,BOGR-WY070-71-JOHNSON-15,0.9286
