Pop_ID,Population,Code,seed_zone,treatment,use,block,ID,tag,plant_date,flower_date,death_date,days_until_flower,days_until_mortality ,length_cm_20220323,length_cm_20220608,survival_20220518,survival_20220608,survival_20220608_ex_replacements,notes_20220608,replaced_YorN,Replacement,Notes,length_cm_20220719,survival_20220719,Notes 20220719,flower_Y_N_20220823,phenology_20220823,flower_Y_N_20220909,phenology_20220909,survival_20220909,length_cm_20220915,flower_Y_N_20220915,phenology_20220915,survival_20220915,notes_20220915,flowering_Y_N_20221108,phenology_20221108,survival_20221108,TissueCollected
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_31,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,31,1,4/20/22,,,,,8.8,11.5,1,1,1,,,,,27.4,1,,0,2,0,2,1,39.1,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_11,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,50,5,4/20/22,,,,,11.4,12.3,1,1,1,,,,,27.8,1,,0,2,0,2,1,43.3,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_51,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,62,,4/20/22,,,,,13.4,21.1,1,1,1,,,,,35,1,,0,2,0,2,1,46.4,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_21,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,79,,4/20/22,,,,,12.6,17,1,1,1,,,,,30.7,1,,0,2,0,2,1,44.8,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_41,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,104,,4/20/22,,7/19/22,,90,11.1,11.4,1,1,1,dying? 6/8,,,,,0,,,,,,0,,,,0,,,,0,N
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_01,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,112,,4/20/22,,,,,11.9,14.1,1,1,1,,,,,25.3,1,,0,2,0,2,1,43.2,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_02,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,150,16,4/20/22,,,,,10.5,14.3,1,1,1,,,,,31.2,1,,0,2,0,2,1,48.6,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_52,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,158,,4/20/22,9/9/22,,142,,9.9,14.7,1,1,1,,,,,27.1,1,,0,2,1,3,1,35.9,1,3,,,1,3,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_32,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,186,,4/20/22,,,,,8.5,8.8,1,1,1,,,,,20.5,1,,0,2,0,2,1,28.1,0,2,,,0,2,1,Y
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_42,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,193,,4/20/22,,,,,8,14.9,1,1,1,,,,,28,1,,0,2,0,2,1,44.1,0,2,,,0,2,1,Y
