Population,sld_miles,sld_km
ERNA-CO932-290-11,17.88039551,28.77571
ERNA-CO932-292-11,11.82376865,19.02851
ERNA-CO932-385-GUNNISON-19,119.7901953,192.78363
ERNA-CO932-387-RIOBLANCO-19,179.0483582,288.1504
ERNA-CO932-389-ROUTT-19,94.33990604,151.82536
ERNA-CO932-390-MONTROSE-20,177.3131695,285.35789
ERNA-CO932-393-MESA-20,220.347923,354.61561
ERNA-CO932-394-MESA-20,220.208386,354.39104
ERNA-NV030-1024-INYO-14,725.229585,1167.14388
ERNA-NV030-1347-LYON-17,758.2265198,1220.2473
ERNA-NV030-1366-WASHOE-17,778.8945225,1253.50923
ERNA-NV030-1515-WASHOE-20,784.4050381,1262.37754
ERNA-NV030-521-10,789.1551836,1270.02216
ERNA-NV030-926-WASHOE-13,782.1545607,1258.75575
ERNA-UT030-219-GARFIELD-13,371.0353669,597.12354
ERNA-UT931-398-10,325.6898135,524.14695
ERNA-UT931-433-10,379.9272282,611.43361
ERNA-UT931-436-10,374.4119787,602.55767
ERNA-WY070-2-10,339.8142709,546.87806
ERNA10-DBG-Chatfield-21,0.00021112,0.00034
