Population,Longitude,Latitude,common_garden,geog_distance
ERNA-CO932-290-11,-105.2299722,39.7815,"39.543115, -105.099288",
ERNA-CO932-292-11,-105.2056667,39.69311111,"39.543115, -105.099289",
ERNA-NV030-521-10,-119.7725833,38.75772222,"39.543115, -105.099290",
ERNA-NV030-926-WASHOE-13,-119.8112528,39.24647778,"39.543115, -105.099291",
ERNA-NV030-1366-WASHOE-17,-119.7223056,39.82155556,"39.543115, -105.099292",
ERNA-NV030-1347-LYON-17,-119.2691056,39.21335833,"39.543115, -105.099293",
ERNA-NV030-1024-INYO-14,-118.1675639,37.29425556,"39.543115, -105.099294",
ERNA-UT030-219-GARFIELD-13,-111.3106389,37.85788889,"39.543115, -105.099295",
ERNA-UT931-398-10,-111.1774722,40.11652778,"39.543115, -105.099296",
ERNA-UT931-436-10,-111.900583,41.068178,"39.543115, -105.099297",
ERNA-UT931-433-10,-111.9248389,41.31168611,"39.543115, -105.099298",
ERNA-WY070-2-10,-106.5296382,44.349599,"39.543115, -105.099299",
ERNA-CO932-387-RIOBLANCO-19,-108.438786,39.818533,"39.543115, -105.099300",
ERNA-CO932-385-GUNNISON-19,-106.982944,38.616133,"39.543115, -105.099301",
ERNA-CO932-390-MONTROSE-20,-108.059597,38.417194,"39.543115, -105.099302",
ERNA-CO932-393-MESA-20,-109.020417,38.614458,"39.543115, -105.099303",
ERNA-CO932-394-MESA-20,-109.029022,38.641975,"39.543115, -105.099304",
ERNA-CO932-389-ROUTT-19,-106.800131,39.922972,"39.543115, -105.099305",
ERNA-NV030-1515-WASHOE-20,-119.7639048,39.24220831,"39.543115, -105.099306",
ERNA10-DBG-Chatfield-21,-105.0999776,39.5508672,"39.543115, -105.099307",
