Population,Survival_Rate,Standard_Error_sv,Flower_Rate,Standard_Error_fl
ERNA-CO932-393-MESA-20,0.8833,0.04144,0.4528302,0.06837397
ERNA-UT931-433-10,0.8833,0.04144,2.35E-08,1.28E-05
ERNA-CO932-290-11,0.9,0.03873,0.1296296,0.04570959
ERNA-CO932-292-11,0.8667,0.04389,0.1153846,0.04430467
ERNA-CO932-385-GUNNISON-19,0.8,0.05657,0.9,0.04743416
ERNA-CO932-387-RIOBLANCO-19,0.8,0.05164,0.4791667,0.07210611
ERNA-CO932-389-ROUTT-19,0.9,0.03873,0.5555556,0.06762007
ERNA-CO932-390-MONTROSE-20,0.85,0.0461,0.2941176,0.06380308
ERNA-CO932-394-MESA-20,0.7833,0.05319,0.326087,0.06911777
ERNA-NV030-1024-INYO-14,0.8667,0.04389,2.35E-08,1.29E-05
ERNA-NV030-1347-LYON-17,0.85,0.0461,0.1960784,0.05559512
ERNA-NV030-1366-WASHOE-17,0.7167,0.05817,0.1162791,0.04888483
ERNA-NV030-1515-WASHOE-20,0.9667,0.02316,0.3103448,0.06074692
ERNA-NV030-521-10,0.9,0.03873,0.4074074,0.06686451
ERNA-NV030-926-WASHOE-13,0.9167,0.035681,0.8,0.05393599
ERNA-UT030-219-GARFIELD-13,0.85,0.0461,0.03921569,0.02718052
ERNA-UT931-398-10,0.7778,0.09799,0.7142857,0.1207363
ERNA-UT931-436-10,0.8833,0.04811,0.02,0.01979899
ERNA-WY070-2-10,0.8667,0.04389,0.3653846,0.06677728
ERNA10-DBG-Chatfield-21,0.7222,0.07465,0.1538462,0.07075894
